can_be_random,objective,target,narration_text,narration_audio_url,use_avatar,avatar_video_url,title_a,text_1,text_2,text_3,text_4,images_length,image_1_url,image_2_url,image_3_url,question_text,answer_1_text,answer_2_text,answer_3_text,answer_4_text,correct_answer_text,correct_answer_number,correct_letter_image_url,narration_answer_text,narration_answer_audio_url
FALSE,Introdução,scene_01_intro,Curso online grátis de Informática,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/68e66f4c-8b94-40e7-beef-f18ebba97849.mp3,FALSE,,,Informática,,,,0,,,,,,,,,,,,,
FALSE,Introdução,scene_02_intro,Todos nossos cursos possuem uma versão grátis completa e de alta qualidade!,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/388834e3-2701-47f5-8b97-760e55ecc745.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Introdução,scene_03_intro,"Além disso, eles possuem especialistas no conhecimento que você está buscando e também são personalizados para entender exatamente o que você busca, com casos práticos, conteúdos específicos e os capítulos que você escolher.",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/1d3a44fc-cb0f-4f1c-9200-212fe7b0a802.mp3,TRUE,https://files.heygen.ai/aws_pacific/avatar_tmp/46d1b12c3f114af89fe8d1ce34c91708/c42dc97445564042ad50e4b843c8cc7f.mp4?Expires=1716908765&Signature=oeXmPvFMxj-B7NCoPIshrQw6yjMOS-knKLBKoNX0YgEMs64o~cDYaoo62xuOhyEgb1oI3WFbhkhU2OgosaVpZlzDiDIp0IuJ~8foK7WvWmWMBjeligQIWsva6Gd7iQlkChwNAxD4bAlKvRiS0mBCRjlCmpCLJUe7fHJ7tAkvkfDQXjlJMdc2nE1oQs040wp7HDppWXxaP-h6UsrrIYokgq4Xk1Vk9om8jRDaPHNqQtxWarDYFqp23ZuH4oGA8PiBOdceWrlKCQhxIUc3KIWPGQXkJZByrsE1AmDJXry9plHd9i-Bk3nV4NKSQL4OPMg00wPFK8nKybD3UE2QhGrIBg__&Key-Pair-Id=K49TZTO9GZI6K,,,,,,0,,,,,,,,,,,,,
FALSE,Introdução,scene_04_intro,Você nunca viu uma plataforma de cursos assim!,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/2764f52a-2d4f-4cb7-a285-8544fdad93e3.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Mentor,scene_05_mentor,"Meu nome é Paulo Silveira, atualmente sou CTO e especialista aqui na Apoia.",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/057596b9-63ee-4623-b496-7e5486828c84.mp3,TRUE,https://files.heygen.ai/aws_pacific/avatar_tmp/46d1b12c3f114af89fe8d1ce34c91708/248deb89405d44f0b1d737dd6876d086.mp4?Expires=1716940219&Signature=g82fqCGFFUaeh2ndcq7nKv2LZavT6CTadv7ohptkZGjN5sl1XsvI0OPFTP-oeClX~RLPALctO6IweQXd6GBR2eMHyEjJTSPcDHJnACGImfXJiPlwwrm8AhKTckUTt7~TR0SndXwuhh4LEQnCXS4W~3VayICf6wNi0w0~Vo~wxO7~xsSGgNI7XZKYZIIepg0h1nNJ404WooPJDck8aUwabOPuRKmVKxE6FFKsl4i~M0dmIeosnZ~qqN57zqDdWSr7cl7LRsP~2DfzK7l7c3NSvkvPZ6MCbkCh3Lc8ga0X9FV9dKuJSa7fkFY4BQPow0vdYLH~KzSCR3PrwTwrd25T7g__&Key-Pair-Id=K49TZTO9GZI6K,,Paulo Henrique da Silveira,Mentor de Tecnologia,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_06_pillars,"Aqui, acreditamos em 5 pilares:",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/01ec4556-7ec2-4a9e-bc5e-6734dbfe22b8.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_07_pillars,Cursos gratuitos! Os cursos possuem uma versão gratuita completa e de alta qualidade.,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/b1792a2d-0b94-4d75-a115-b23d436a9043.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_08_pillars,"Cursos online rápidos e diretos, organizados em uma jornada para seu sucesso profissional e pessoal",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/9758f39e-9f47-4081-8e59-0e27e6e3839e.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_09_pillars,Quer acompanhar seu progresso? Descubra sua posição e chegue no ranking dos melhores do mercado!,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/5736b261-2322-4a6e-a290-6d0bf127443e.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_10_pillars,Especialistas para te ajudar a explorar novos caminhos. Certificado ao fim do curso,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/e0242a6d-c557-4e43-98fb-226b645fa28f.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_11_presentation,"Personalizado, com escolha de capítulos, diferentes níveis (básico, intermediário e avançado) e conteúdo escolhido e produzido apenas para você.",https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/5906b4af-5e8f-4ea5-abbb-291523463916.mp3,FALSE,,,,,,,0,,,,,,,,,,,,,
FALSE,Apresentação,scene_12_presentation,Eu sou um dos especialistas do curso de Informática na Apoia e nesse curso queremos Dominar as principais ferramentas de informática de forma prática e rápida. E para isso vamos cobrir o seguintes tópicos no curso:,https://apoia-cdn.s3.sa-east-1.amazonaws.com/narration/d503e906-7040-4b7b-946f-8893ff0def4e.mp3,TRUE,https://files.heygen.ai/aws_pacific/avatar_tmp/46d1b12c3f114af89fe8d1ce34c91708/4f7d9fcf345446789991d507677a093e.mp4?Expires=1716908986&Signature=SVnBD7o8gR27jtFnHfCy0CxbxgytgItcFUl5-EUoK1HOP-XOVWRYqJaZgdwIWWmKo7H81M3T~iE2WfArFLhQPJlFHPFUGPdoiUwjywPBJgaPpKvgUcH~9~Jndwt65FL0~e7PpYO3PN9YSBxo3qaUxrooKcHRtzxQV6Ab3yU119w6b-yY-5jHOEe9RJyrHOGjZMWO0oOcx4jEX8oQWGelCNXP5WA5YxQSBYwgL5tJNc-X5BRdT4PyCNBIY9V9EPaiTbgWmVgbmKTp9vtIUQGtPw0GHqqgURBX2tXnlB9p2i5EQxqWd3KXCXjaL10mt3BCGB1Crj9RGnIHygYLaXc8Cw__&Key-Pair-Id=K49TZTO9GZI6K,,,,,,0,,,,,,,,,,,,,
